"Time","Velocity","Acceleration","Position"
0.18000000000000002,"{0.30463279212591915, 0.5077213202098654, -0.9864299935505951}","{1.6924044006995511, 2.820674001165919, -5.480166630836641}","{0.02894011525196233, 0.04823352541993721, 2.906289150612694}"
0.19000000000000003,"{0.32155683613291464, 0.5359280602215246, -1.0412316598589615}","{1.6924044006995511, 2.820674001165919, -5.480166630836641}","{0.03215568361329148, 0.05359280602215245, 2.8958768340141043}"
0.20000000000000004,"{0.3384808801399101, 0.5641348002331839, -1.0960333261673278}","{1.6924044006995511, 2.820674001165919, -5.480166630836641}","{0.03554049241469058, 0.059234154024484294, 2.884916500752431}"
0.21000000000000005,"{0.3554049241469056, 0.5923415402448431, -1.1508349924756942}","{1.6924044006995511, 2.820674001165919, -5.480166630836641}","{0.03909454165615964, 0.06515756942693272, 2.8734081508276743}"
0.22000000000000006,"{0.3723289681539011, 0.6205482802565023, -1.2056366587840606}","{1.6924044006995511, 2.820674001165919, -5.480166630836641}","{0.04281783133769865, 0.07136305222949775, 2.8613517842398335}"
0.23000000000000007,"{0.3892530121608966, 0.6487550202681616, -1.260438325092427}","{1.6924044006995511, 2.820674001165919, -5.480166630836641}","{0.04671036145930761, 0.07785060243217937, 2.848747400988909}"
0.24000000000000007,"{0.40617705616789207, 0.6769617602798208, -1.3152399914007933}","{1.6924044006995511, 2.820674001165919, -5.480166630836641}","{0.05077213202098653, 0.08462022003497757, 2.835595001074901}"
0.25000000000000006,"{0.42310110017488756, 0.70516850029148, -1.3700416577091596}","{1.6924044006995511, 2.820674001165919, -5.480166630836641}","{0.05500314302273541, 0.09167190503789237, 2.8218945844978096}"
0.26000000000000006,"{0.44002514418188304, 0.7333752403031393, -1.424843324017526}","{1.6924044006995511, 2.820674001165919, -5.480166630836641}","{0.05940339446455424, 0.09900565744092377, 2.8076461512576345}"
0.2700000000000001,"{0.45694918818887853, 0.7615819803147985, -1.4796449903258924}","{1.6924044006995511, 2.820674001165919, -5.480166630836641}","{0.06397288634644302, 0.10662147724407176, 2.7928497013543754}"
0.2800000000000001,"{0.473873232195874, 0.7897887203264577, -1.5344466566342587}","{1.6924044006995511, 2.820674001165919, -5.480166630836641}","{0.06871161866840175, 0.11451936444733633, 2.7775052347880327}"
0.2900000000000001,"{0.4907972762028695, 0.817995460338117, -1.589248322942625}","{1.6924044006995511, 2.820674001165919, -5.480166630836641}","{0.07361959143043045, 0.1226993190507175, 2.7616127515586064}"
0.3000000000000001,"{0.507721320209865, 0.8462022003497762, -1.6440499892509914}","{1.6924044006995511, 2.820674001165919, -5.480166630836641}","{0.07869680463252911, 0.13116134105421526, 2.7451722516660966}"
0.3100000000000001,"{0.5246453642168606, 0.8744089403614355, -1.6988516555593578}","{1.6924044006995511, 2.820674001165919, -5.480166630836641}","{0.08394325827469772, 0.1399054304578296, 2.728183735110503}"
0.3200000000000001,"{0.5415694082238561, 0.9026156803730947, -1.7536533218677242}","{1.6924044006995511, 2.820674001165919, -5.480166630836641}","{0.08935895235693628, 0.14893158726156056, 2.7106472018918257}"
0.3300000000000001,"{0.5584934522308517, 0.9308224203847539, -1.8084549881760905}","{1.6924044006995511, 2.820674001165919, -5.480166630836641}","{0.0949438868792448, 0.1582398114654081, 2.6925626520100647}"
0.34000000000000014,"{0.5754174962378472, 0.9590291603964132, -1.8632566544844569}","{1.6924044006995511, 2.820674001165919, -5.480166630836641}","{0.10069806184162326, 0.16783010306937224, 2.67393008546522}"
0.35000000000000014,"{0.5923415402448428, 0.9872359004080724, -1.9180583207928232}","{1.6924044006995511, 2.820674001165919, -5.480166630836641}","{0.10662147724407169, 0.17770246207345297, 2.654749502257292}"
0.36000000000000015,"{0.6092655842518383, 1.0154426404197316, -1.9728599871011896}","{1.6924044006995511, 2.820674001165919, -5.480166630836641}","{0.11271413308659006, 0.18785688847765028, 2.6350209023862803}"
0.37000000000000016,"{0.6261896282588338, 1.0436493804313909, -2.027661653409556}","{1.6924044006995511, 2.820674001165919, -5.480166630836641}","{0.11897602936917841, 0.1982933822819642, 2.6147442858521845}"
0.38000000000000017,"{0.6431136722658294, 1.0718561204430501, -2.0824633197179225}","{1.6924044006995511, 2.820674001165919, -5.480166630836641}","{0.1254071660918367, 0.20901194348639468, 2.5939196526550052}"
0.3900000000000002,"{0.6600377162728249, 1.1000628604547094, -2.137264986026289}","{1.6924044006995511, 2.820674001165919, -5.480166630836641}","{0.13200754325456493, 0.22001257209094177, 2.5725470027947424}"
0.4000000000000002,"{0.6769617602798205, 1.1282696004663686, -2.1920666523346557}","{1.6924044006995511, 2.820674001165919, -5.480166630836641}","{0.13877716085736314, 0.23129526809560547, 2.550626336271396}"
0.4100000000000002,"{0.693885804286816, 1.1564763404780278, -2.2468683186430223}","{1.6924044006995511, 2.820674001165919, -5.480166630836641}","{0.1457160189002313, 0.24286003150038574, 2.528157653084966}"
0.4200000000000002,"{0.7108098482938116, 1.184683080489687, -2.301669984951389}","{1.6924044006995511, 2.820674001165919, -5.480166630836641}","{0.15282411738316942, 0.2547068623052826, 2.505140953235452}"
0.4300000000000002,"{0.7277338923008071, 1.2128898205013463, -2.3564716512597554}","{1.6924044006995511, 2.820674001165919, -5.480166630836641}","{0.1601014563061775, 0.26683576051029606, 2.481576236722854}"
0.4400000000000002,"{0.7446579363078026, 1.2410965605130055, -2.411273317568122}","{1.6924044006995511, 2.820674001165919, -5.480166630836641}","{0.16754803566925552, 0.2792467261154261, 2.457463503547173}"
0.45000000000000023,"{0.7615819803147982, 1.2693033005246648, -2.4660749838764886}","{1.6924044006995511, 2.820674001165919, -5.480166630836641}","{0.1751638554724035, 0.29193975912067277, 2.4328027537084083}"
0.46000000000000024,"{0.7785060243217937, 1.297510040536324, -2.520876650184855}","{1.6924044006995511, 2.820674001165919, -5.480166630836641}","{0.18294891571562144, 0.30491485952603603, 2.40759398720656}"
0.47000000000000025,"{0.7954300683287893, 1.3257167805479833, -2.5756783164932218}","{1.6924044006995511, 2.820674001165919, -5.480166630836641}","{0.19090321639890934, 0.31817202733151584, 2.3818372040416276}"
0.48000000000000026,"{0.8123541123357848, 1.3539235205596425, -2.6304799828015883}","{1.6924044006995511, 2.820674001165919, -5.480166630836641}","{0.19902675752226717, 0.33171126253711225, 2.3555324042136117}"
0.49000000000000027,"{0.8292781563427803, 1.3821302605713017, -2.685281649109955}","{1.6924044006995511, 2.820674001165919, -5.480166630836641}","{0.20731953908569498, 0.34553256514282527, 2.328679587722512}"
0.5000000000000002,"{0.8462022003497759, 1.410337000582961, -2.7400833154183215}","{1.6924044006995511, 2.820674001165919, -5.480166630836641}","{0.21578156108919275, 0.3596359351486549, 2.301278754568329}"
0.5100000000000002,"{0.8631262443567714, 1.4385437405946202, -2.794884981726688}","{1.6924044006995511, 2.820674001165919, -5.480166630836641}","{0.22441282353276046, 0.3740213725546011, 2.273329904751062}"
0.5200000000000002,"{0.880050288363767, 1.4667504806062794, -2.8496866480350547}","{1.6924044006995511, 2.820674001165919, -5.480166630836641}","{0.23321332641639814, 0.3886888773606639, 2.2448330382707113}"
0.5300000000000002,"{0.8969743323707625, 1.4949572206179387, -2.9044883143434213}","{1.6924044006995511, 2.820674001165919, -5.480166630836641}","{0.24218306974010576, 0.40363844956684325, 2.215788155127277}"
0.5400000000000003,"{0.9138983763777581, 1.523163960629598, -2.959289980651788}","{1.6924044006995511, 2.820674001165919, -5.480166630836641}","{0.2513220535038833, 0.4188700891731392, 2.1861952553207593}"
0.5500000000000003,"{0.9308224203847536, 1.5513707006412571, -3.0140916469601544}","{1.6924044006995511, 2.820674001165919, -5.480166630836641}","{0.26063027770773084, 0.4343837961795518, 2.156054338851158}"
0.5600000000000003,"{0.9477464643917491, 1.5795774406529164, -3.068893313268521}","{1.6924044006995511, 2.820674001165919, -5.480166630836641}","{0.2701077423516483, 0.450179570586081, 2.1253654057184725}"
0.5700000000000003,"{0.9646705083987447, 1.6077841806645756, -3.1236949795768876}","{1.6924044006995511, 2.820674001165919, -5.480166630836641}","{0.27975444743563577, 0.4662574123927267, 2.0941284559227036}"
0.5800000000000003,"{0.9815945524057402, 1.6359909206762349, -3.178496645885254}","{1.6924044006995511, 2.820674001165919, -5.480166630836641}","{0.28957039295969317, 0.48261732159948906, 2.062343489463851}"
0.5900000000000003,"{0.9985185964127358, 1.664197660687894, -3.2332983121936207}","{1.6924044006995511, 2.820674001165919, -5.480166630836641}","{0.2995555789238205, 0.499259298206368, 2.030010506341915}"
0.6000000000000003,"{1.0154426404197312, 1.6924044006995533, -3.2880999785019873}","{1.6924044006995511, 2.820674001165919, -5.480166630836641}","{0.30971000532801785, 0.5161833422133635, 1.997129506556895}"
0.6100000000000003,"{1.0323666844267267, 1.7206111407112126, -3.342901644810354}","{1.6924044006995511, 2.820674001165919, -5.480166630836641}","{0.3200336721722851, 0.5333894536204756, 1.9637004901087916}"
0.6200000000000003,"{1.0492907284337223, 1.7488178807228718, -3.3977033111187205}","{1.6924044006995511, 2.820674001165919, -5.480166630836641}","{0.33052657945662234, 0.5508776324277044, 1.9297234569976043}"
0.6300000000000003,"{1.0662147724407178, 1.777024620734531, -3.452504977427087}","{1.6924044006995511, 2.820674001165919, -5.480166630836641}","{0.3411887271810295, 0.5686478786350497, 1.8951984072233334}"
0.6400000000000003,"{1.0831388164477134, 1.8052313607461903, -3.5073066437354536}","{1.6924044006995511, 2.820674001165919, -5.480166630836641}","{0.35202011534550665, 0.5867001922425117, 1.8601253407859788}"
0.6500000000000004,"{1.100062860454709, 1.8334381007578495, -3.5621083100438202}","{1.6924044006995511, 2.820674001165919, -5.480166630836641}","{0.36302074395005374, 0.6050345732500901, 1.8245042576855406}"
0.6600000000000004,"{1.1169869044617045, 1.8616448407695088, -3.616909976352187}","{1.6924044006995511, 2.820674001165919, -5.480166630836641}","{0.37419061299467077, 0.6236510216577852, 1.7883351579220188}"
0.6700000000000004,"{1.1339109484687, 1.889851580781168, -3.6717116426605534}","{1.6924044006995511, 2.820674001165919, -5.480166630836641}","{0.3855297224793578, 0.6425495374655968, 1.7516180414954132}"
0.6800000000000004,"{1.1508349924756955, 1.9180583207928272, -3.72651330896892}","{1.6924044006995511, 2.820674001165919, -5.480166630836641}","{0.39703807240411476, 0.6617301206735251, 1.714352908405724}"
0.6900000000000004,"{1.167759036482691, 1.9462650608044865, -3.7813149752772865}","{1.6924044006995511, 2.820674001165919, -5.480166630836641}","{0.40871566276894167, 0.68119277128157, 1.6765397586529511}"
0.7000000000000004,"{1.1846830804896866, 1.9744718008161457, -3.836116641585653}","{1.6924044006995511, 2.820674001165919, -5.480166630836641}","{0.4205624935738385, 0.7009374892897314, 1.6381785922370946}"
0.7100000000000004,"{1.2016071244966822, 2.0026785408278047, -3.8909183078940197}","{1.6924044006995511, 2.820674001165919, -5.480166630836641}","{0.43257856481880536, 0.7209642746980095, 1.5992694091581545}"
0.7200000000000004,"{1.2185311685036777, 2.0308852808394637, -3.9457199742023863}","{1.6924044006995511, 2.820674001165919, -5.480166630836641}","{0.44476387650384214, 0.7412731275064042, 1.5598122094161306}"
0.7300000000000004,"{1.2354552125106733, 2.0590920208511228, -4.000521640510753}","{1.6924044006995511, 2.820674001165919, -5.480166630836641}","{0.45711842862894886, 0.7618640477149154, 1.5198069930110232}"
0.7400000000000004,"{1.2523792565176688, 2.0872987608627818, -4.055323306819119}","{1.6924044006995511, 2.820674001165919, -5.480166630836641}","{0.4696422211941256, 0.7827370353235432, 1.479253759942832}"
0.7500000000000004,"{1.2693033005246643, 2.115505500874441, -4.110124973127485}","{1.6924044006995511, 2.820674001165919, -5.480166630836641}","{0.48233525419937223, 0.8038920903322876, 1.438152510211557}"
0.7600000000000005,"{1.2862273445316599, 2.1437122408861, -4.164926639435851}","{1.6924044006995511, 2.820674001165919, -5.480166630836641}","{0.49519752764468883, 0.8253292127411486, 1.3965032438171985}"
0.7700000000000005,"{1.3031513885386554, 2.171918980897759, -4.219728305744217}","{1.6924044006995511, 2.820674001165919, -5.480166630836641}","{0.5082290415300754, 0.8470484025501261, 1.3543059607597563}"
0.7800000000000005,"{1.320075432545651, 2.200125720909418, -4.274529972052584}","{1.6924044006995511, 2.820674001165919, -5.480166630836641}","{0.521429795855532, 0.8690496597592203, 1.3115606610392305}"
0.7900000000000005,"{1.3369994765526465, 2.228332460921077, -4.32933163836095}","{1.6924044006995511, 2.820674001165919, -5.480166630836641}","{0.5347997906210584, 0.8913329843684311, 1.268267344655621}"
0.8000000000000005,"{1.353923520559642, 2.256539200932736, -4.384133304669316}","{1.6924044006995511, 2.820674001165919, -5.480166630836641}","{0.5483390258266548, 0.9138983763777585, 1.2244260116089278}"
0.8100000000000005,"{1.3708475645666376, 2.284745940944395, -4.438934970977682}","{1.6924044006995511, 2.820674001165919, -5.480166630836641}","{0.5620475014723212, 0.9367458357872025, 1.180036661899151}"
0.8200000000000005,"{1.3877716085736331, 2.312952680956054, -4.493736637286048}","{1.6924044006995511, 2.820674001165919, -5.480166630836641}","{0.5759252175580575, 0.959875362596763, 1.1350992955262904}"
0.8300000000000005,"{1.4046956525806287, 2.341159420967713, -4.548538303594414}","{1.6924044006995511, 2.820674001165919, -5.480166630836641}","{0.5899721740838637, 0.9832869568064401, 1.0896139124903463}"
0.8400000000000005,"{1.4216196965876242, 2.369366160979372, -4.60333996990278}","{1.6924044006995511, 2.820674001165919, -5.480166630836641}","{0.60418837104974, 1.0069806184162338, 1.0435805127913185}"
0.8500000000000005,"{1.4385437405946198, 2.397572900991031, -4.6581416362111465}","{1.6924044006995511, 2.820674001165919, -5.480166630836641}","{0.6185738084556862, 1.030956347426144, 0.996999096429207}"
0.8600000000000005,"{1.4554677846016153, 2.42577964100269, -4.712943302519513}","{1.6924044006995511, 2.820674001165919, -5.480166630836641}","{0.6331284863017024, 1.0552141438361708, 0.9498696634040119}"
0.8700000000000006,"{1.4723918286086108, 2.453986381014349, -4.767744968827879}","{1.6924044006995511, 2.820674001165919, -5.480166630836641}","{0.6478524045877885, 1.0797540076463144, 0.9021922137157331}"
0.8800000000000006,"{1.4893158726156064, 2.482193121026008, -4.822546635136245}","{1.6924044006995511, 2.820674001165919, -5.480166630836641}","{0.6627455633139445, 1.1045759388565743, 0.8539667473643706}"
0.8900000000000006,"{1.506239916622602, 2.510399861037667, -4.877348301444611}","{1.6924044006995511, 2.820674001165919, -5.480166630836641}","{0.6778079624801705, 1.129679937466951, 0.8051932643499246}"
0.9000000000000006,"{1.5231639606295975, 2.538606601049326, -4.932149967752977}","{1.6924044006995511, 2.820674001165919, -5.480166630836641}","{0.6930396020864664, 1.1550660034774443, 0.7558717646723948}"
0.9100000000000006,"{1.540088004636593, 2.566813341060985, -4.986951634061343}","{1.6924044006995511, 2.820674001165919, -5.480166630836641}","{0.7084404821328324, 1.1807341368880542, 0.7060022483317814}"
0.9200000000000006,"{1.5570120486435886, 2.595020081072644, -5.0417533003697095}","{1.6924044006995511, 2.820674001165919, -5.480166630836641}","{0.7240106026192683, 1.2066843376987806, 0.6555847153280843}"
0.9300000000000006,"{1.573936092650584, 2.623226821084303, -5.096554966678076}","{1.6924044006995511, 2.820674001165919, -5.480166630836641}","{0.7397499635457742, 1.2329166059096237, 0.6046191656613035}"
0.9400000000000006,"{1.5908601366575796, 2.651433561095962, -5.151356632986442}","{1.6924044006995511, 2.820674001165919, -5.480166630836641}","{0.75565856491235, 1.2594309415205833, 0.5531055993314391}"
0.9500000000000006,"{1.6077841806645752, 2.679640301107621, -5.206158299294808}","{1.6924044006995511, 2.820674001165919, -5.480166630836641}","{0.7717364067189957, 1.2862273445316594, 0.501044016338491}"
0.9600000000000006,"{1.6247082246715707, 2.70784704111928, -5.260959965603174}","{1.6924044006995511, 2.820674001165919, -5.480166630836641}","{0.7879834889657114, 1.3133058149428523, 0.4484344166824593}"
0.9700000000000006,"{1.6416322686785663, 2.736053781130939, -5.31576163191154}","{1.6924044006995511, 2.820674001165919, -5.480166630836641}","{0.804399811652497, 1.3406663527541616, 0.3952768003633439}"
0.9800000000000006,"{1.6585563126855618, 2.764260521142598, -5.370563298219906}","{1.6924044006995511, 2.820674001165919, -5.480166630836641}","{0.8209853747793526, 1.3683089579655876, 0.34157116738114485}"
0.9900000000000007,"{1.6754803566925573, 2.792467261154257, -5.425364964528272}","{1.6924044006995511, 2.820674001165919, -5.480166630836641}","{0.8377401783462782, 1.3962336305771301, 0.2873175177358621}"
1.0000000000000007,"{1.692404400699553, 2.820674001165916, -5.480166630836639}","{1.6924044006995511, 2.820674001165919, -5.480166630836641}","{0.8546642223532738, 1.4244403705887894, 0.23251585142749573}"
1.0100000000000007,"{1.7093284447065484, 2.848880741177575, -5.534968297145005}","{1.6924044006995511, 2.820674001165919, -5.480166630836641}","{0.8717575068003393, 1.452929178000565, 0.1771661684560457}"
1.0200000000000007,"{1.726252488713544, 2.877087481189234, -5.589769963453371}","{1.6924044006995511, 2.820674001165919, -5.480166630836641}","{0.8890200316874747, 1.4817000528124575, 0.12126846882151197}"
1.0300000000000007,"{1.7431765327205395, 2.905294221200893, -5.644571629761737}","{1.6924044006995511, 2.820674001165919, -5.480166630836641}","{0.90645179701468, 1.5107529950244665, 0.0648227525238946}"
1.0400000000000007,"{1.760100576727535, 2.933500961212552, -5.699373296070103}","{1.6924044006995511, 2.820674001165919, -5.480166630836641}","{0.9240528027819553, 1.540088004636592, 0.007829019563193575}"
1.0500000000000007,"{1.7770246207345306, 2.9617077012242112, -5.754174962378469}","{1.6924044006995511, 2.820674001165919, -5.480166630836641}","{0.9418230489893007, 1.569705081648834, -0.04971273006059112}"
